timestamp,edge_id,source_type,traffic_level,speed
2026-02-03T19:54:52.382583,2,bot,0.671,13.2
2026-02-03T19:54:52.382583,4,bot,0.618,22.9
2026-02-03T19:54:52.382583,4_rev,bot,0.033,58.0
2026-02-03T19:54:52.382583,5,bot,0.437,22.5
2026-02-03T19:54:52.382583,6,bot,0.292,28.3
2026-02-03T19:54:52.382583,6_rev,bot,0.747,10.1
2026-02-03T19:54:52.382583,7_rev,bot,0.665,13.4
2026-02-03T19:54:52.382583,8,bot,0.661,20.3
2026-02-03T19:54:52.382583,8_rev,bot,0.95,3.0
2026-02-03T19:54:52.382583,9,bot,0.333,26.7
2026-02-03T19:54:52.382583,9_rev,bot,0.052,37.9
2026-02-03T19:54:52.382583,10,bot,0.722,11.1
2026-02-03T19:54:52.382583,11,bot,0.645,14.2
2026-02-03T19:54:52.382583,12,bot,0.398,36.1
2026-02-03T19:54:52.382583,12_rev,bot,0.317,41.0
2026-02-03T19:54:52.382583,13,bot,0.161,33.6
2026-02-03T19:54:52.382583,14,bot,0.54,27.6
2026-02-03T19:54:52.382583,14_rev,bot,0.194,48.4
2026-02-03T19:54:52.382583,15,bot,0.167,50.0
2026-02-03T19:54:52.382583,15_rev,bot,0.798,12.1
2026-02-03T19:54:52.382583,16,bot,0.374,37.5
2026-02-03T19:54:52.382583,16_rev,bot,0.788,12.7
2026-02-03T19:54:52.382583,18,bot,0.331,40.1
2026-02-03T19:54:52.382583,18_rev,bot,0.584,24.9
2026-02-03T19:54:52.382583,19,bot,0.424,34.5
2026-02-03T19:54:52.382583,19_rev,bot,0.346,39.2
2026-02-03T19:54:52.382583,20,bot,0.293,42.4
2026-02-03T19:54:52.382583,20_rev,bot,0.164,50.2
2026-02-03T19:54:52.382583,22,bot,0.506,19.8
2026-02-03T19:54:52.382583,23,bot,0.473,21.1
2026-02-03T19:54:52.382583,25,bot,0.382,24.7
2026-02-03T19:54:52.382583,25_rev,bot,0.406,23.8
2026-02-03T19:54:52.382583,26,bot,0.407,35.6
2026-02-03T19:54:52.382583,26_rev,bot,0.007,59.6
2026-02-03T19:54:52.382583,27,bot,0.561,17.6
2026-02-03T19:54:52.382583,28,bot,0.479,20.8
2026-02-03T19:54:52.382583,28_rev,bot,0.347,26.1
2026-02-03T19:54:52.382583,30,bot,0.349,39.0
2026-02-03T19:54:52.382583,30_rev,bot,0.95,3.0
2026-02-03T19:54:52.382583,31,bot,0.212,31.5
2026-02-03T19:54:52.382583,32,bot,0.559,17.6
2026-02-03T19:54:52.382583,33,bot,0.401,24.0
2026-02-03T19:54:52.382583,33_rev,bot,0.441,22.4
2026-02-03T19:54:52.382583,34,bot,0.667,20.0
2026-02-03T19:54:52.382583,34_rev,bot,0.56,26.4
2026-02-03T19:54:52.382583,35,bot,0.014,39.4
2026-02-03T19:54:52.382583,35_rev,bot,0.347,26.1
2026-02-03T19:54:52.382583,36,bot,0.115,53.1
2026-02-03T19:54:52.382583,36_rev,bot,0.364,38.2
2026-02-03T19:54:52.382583,37,bot,0.597,24.2
2026-02-03T19:54:52.382583,37_rev,bot,0.411,35.3
2026-02-03T19:54:52.382583,38,bot,0.346,39.3
2026-02-03T19:54:52.382583,38_rev,bot,0.157,50.6
2026-02-03T19:54:52.382583,40,bot,0.067,56.0
2026-02-03T19:54:52.382583,40_rev,bot,0.074,55.5
2026-02-03T19:54:52.382583,41,bot,0.284,43.0
2026-02-03T19:54:52.382583,41_rev,bot,0.721,16.8
2026-02-03T19:54:52.382583,42,bot,0.313,41.2
2026-02-03T19:54:52.382583,42_rev,bot,0.243,45.4
2026-02-03T19:54:52.382583,43,bot,0.756,9.8
2026-02-03T19:54:52.382583,44_rev,bot,0.599,16.0
2026-02-03T19:54:52.382583,45,bot,0.244,30.3
2026-02-03T19:54:52.382583,45_rev,bot,0.295,28.2
2026-02-03T19:54:52.382583,46_rev,bot,0.008,39.7
2026-02-03T19:54:52.382583,47_rev,bot,0.231,30.8
2026-02-03T19:54:52.382583,48,bot,0.344,39.4
2026-02-03T19:54:52.382583,48_rev,bot,0.434,33.9
2026-02-03T19:54:52.382583,49_rev,bot,0.203,31.9
2026-02-03T19:54:52.382583,50_rev,bot,0.711,11.6
2026-02-03T19:54:52.382583,51_rev,bot,0.415,23.4
2026-02-03T19:54:52.382583,52,bot,0.323,40.6
2026-02-03T19:54:52.382583,52_rev,bot,0.19,48.6
2026-02-03T19:54:52.382583,53,bot,0.484,20.6
2026-02-03T19:54:52.382583,54,bot,0.766,9.4
2026-02-03T19:54:52.382583,55,bot,0.029,38.9
2026-02-03T19:54:52.382583,55_rev,bot,0.23,30.8
2026-02-03T19:54:52.382583,57_rev,bot,0.205,31.8
2026-02-03T19:54:52.382583,58,bot,0.797,8.1
2026-02-03T19:54:52.382583,8,user,0.464,30.8
2026-02-03T19:54:52.382583,55_rev,user,0.426,23.4
2026-02-03T19:54:52.382583,49_rev,user,0.399,24.5
2026-02-03T19:54:52.382583,30,user,0.657,19.9
2026-02-03T19:54:52.382583,37,user,0.126,54.7
2026-02-03T19:54:52.382583,7,user,0.562,17.2
2026-02-03T19:54:52.382583,58_rev,user,0.038,38.7
2026-02-03T19:54:52.382583,51_rev,user,0.591,15.7
2026-02-03T19:54:52.382583,46,user,0.33,26.4
2026-02-03T19:54:52.382583,35,user,0.537,19.3
2026-02-03T19:54:52.382583,22,user,0.566,16.4
2026-02-03T19:54:52.382583,10,user,0.218,30.7
2026-02-03T19:54:52.382583,60,user,0.537,18.1
